"","life_form","use_avail","prop"
"1","CONIFER","used",0.44695658835856
"2","SHRUB","used",0.169182993398221
"3","HERBACEOUS","used",0.110133119184328
"4","BARREN/OTHER","used",0.0132404730990075
"5","URBAN","used",0.0175836787391495
"6","HARDWOOD","used",0.131701961420813
"7","WATER","used",0.024936607819979
"8","AGRICULTURE","used",0.0862645779799421
"9","CONIFER","avail",0.401685393258427
"10","SHRUB","avail",0.112359550561798
"11","HERBACEOUS","avail",0.202247191011236
"12","BARREN/OTHER","avail",0.0702247191011236
"13","URBAN","avail",0.0898876404494382
"14","HARDWOOD","avail",0.050561797752809
"15","WATER","avail",0.0280898876404494
"16","AGRICULTURE","avail",0.0449438202247191
